,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
67,11412553.0,480.0,854.0,23,132.1304347826087,31,1704,1304,2,5461,0.17777,2028866,1095,1,0,0,1,0,1,1,0,720
68,7350770.0,480.0,854.0,23,104.56521739130434,24,1303,1078,2,4322,0.21844,1605706,943,1,0,0,1,0,1,1,0,585
69,23725953.0,480.0,854.0,23,200.65217391304347,56,1842,2717,2,8292,0.12741,3022897,1786,1,0,0,1,0,1,1,0,985
70,16276006.0,480.0,854.0,23,109.8695652173913,20,0,2507,2,4542,0.10368,1687440,875,1,0,0,1,0,1,1,0,1234
71,5853878.0,480.0,854.0,23,59.39130434782609,18,622,726,2,2456,0.15292999999999998,895259,596,1,0,0,1,0,1,1,0,821
72,31978602.0,480.0,854.0,24,247.91666666666663,51,2628,3271,2,10680,0.12174,3893065,2835,1,0,0,1,0,1,1,0,1031
73,4160330.0,480.0,854.0,23,48.65217391304348,15,523,581,2,2012,0.17629,733412,403,1,0,0,1,0,1,1,0,712
74,8099757.0,480.0,854.0,23,82.69565217391305,23,610,1269,2,3419,0.15387,1246291,818,1,0,0,1,0,1,1,0,816
75,7721968.0,480.0,854.0,23,59.60869565217392,13,808,550,2,2465,0.11636,898540,698,1,0,0,1,0,1,1,0,1079
76,9012756.0,480.0,854.0,23,75.52173913043478,16,967,754,2,3123,0.12630999999999998,1138393,853,1,0,0,1,0,1,1,0,994
77,5641835.0,480.0,854.0,23,50.69565217391305,11,672,483,2,2097,0.13556,764782,266,1,0,0,1,0,1,1,0,926
78,4381421.0,480.0,640.0,25,101.76,31,1185,1328,2,4389,0.36515,1599875,206,1,0,0,1,0,1,1,0,343
79,9544759.0,480.0,640.0,25,131.52,53,1126,2109,2,5671,0.22074,2106885,57,1,0,0,1,0,1,1,0,579
80,10072058.0,720.0,1280.0,25,138.48,80,1811,1571,2,5964,0.22001,2215940,23,0,1,0,1,0,1,0,1,581
81,10285492.0,282.0,480.0,23,167.47826086956522,88,0,3764,2,6922,0.18752,1928742,191,0,1,0,1,0,1,0,1,511
82,10389128.0,344.0,640.0,29,185.3793103448276,119,0,5257,2,7728,0.20727,2153325,145,0,1,0,1,0,1,0,1,463
83,37791815.0,720.0,1280.0,29,807.0344827586208,181,11472,11751,2,33632,0.3244,12259512,2603,0,1,0,1,0,1,0,1,387
84,29190953.0,720.0,1280.0,29,809.6896551724138,196,13887,9398,2,33742,0.42944,12535803,3905,0,1,0,1,0,1,0,1,298
85,44847276.0,720.0,1280.0,29,773.0344827586208,212,12790,9416,2,32215,0.26184,11742988,3069,0,1,0,1,0,1,0,1,479
86,69148114.0,360.0,640.0,25,1255.0,651,0,30724,1,54051,0.16335,11295555,1850,0,1,1,0,1,0,0,1,440
87,64867801.0,360.0,640.0,25,1255.04,742,0,30634,1,54054,0.17414000000000002,11296182,2515,0,1,1,0,1,0,0,1,413
88,72375092.0,360.0,640.0,25,1256.04,731,0,30670,1,54096,0.1562,11304959,1996,0,1,1,0,1,0,0,1,460
89,69151246.0,360.0,640.0,25,1255.44,668,0,30718,1,54070,0.1634,11299526,2077,0,1,1,0,1,0,0,1,440
90,356214492.0,480.0,854.0,29,4977.310344827586,1976,56388,85978,2,207880,0.21273000000000006,75776337,929,1,0,0,1,0,1,1,0,590
91,353939804.0,352.0,624.0,23,5248.695652173913,2604,0,118116,2,216851,0.17072,60423787,13368,0,1,0,1,0,1,0,1,562
92,538618778.0,720.0,1280.0,23,4919.217391304348,2080,52332,58730,2,203229,0.14018,75503768,5169,0,1,0,1,0,1,0,1,913
93,320336596.0,676.0,1280.0,25,4111.04,2112,51716,48948,2,177048,0.20534,65777095,5006,0,1,0,1,0,1,0,1,623
94,143303197.0,360.0,640.0,25,2586.0,1320,0,63330,2,111374,0.21656,31033190,3138,0,1,0,1,0,1,0,1,443
95,212735782.0,480.0,640.0,25,3024.2,1226,38192,36187,2,130245,0.22317,47476812,5147,1,0,0,1,0,1,1,0,562
96,241473039.0,360.0,476.0,29,4816.620689655172,2939,0,136743,2,200725,0.23162,55929904,9153,0,1,0,1,0,1,0,1,414
97,254663590.0,360.0,480.0,29,5479.517241379311,3329,0,155577,2,228348,0.24985,63626762,4469,0,1,0,1,0,1,0,1,384
98,211496196.0,352.0,640.0,24,4209.0,2078,0,98938,2,181269,0.23882,50508695,5293,0,1,0,1,0,1,0,1,401
99,319219734.0,480.0,854.0,29,3422.310344827586,1688,38122,59437,2,142619,0.16286,51987374,6703,1,0,0,1,0,1,1,0,771
100,225096860.0,480.0,854.0,29,4063.9310344827586,1799,50779,65276,2,169357,0.27425,61733890,7768,1,0,0,1,0,1,1,0,457
101,322587325.0,480.0,636.0,25,5362.56,2099,56388,75577,2,230996,0.26102,84202494,10070,1,0,0,1,0,1,1,0,481
102,136003442.0,720.0,1280.0,23,1451.478260869565,564,16491,16329,2,59966,0.16380999999999998,22278524,2842,0,1,0,1,0,1,0,1,781
103,88986972.0,360.0,640.0,23,1458.695652173913,829,0,32721,2,60269,0.18872,16793321,1874,0,1,0,1,0,1,0,1,508
104,146734917.0,360.0,480.0,25,2539.6,1546,0,61944,2,109377,0.2077,30476747,3224,0,1,0,1,0,1,0,1,462
105,263081199.0,720.0,1278.0,23,1458.2608695652175,637,17945,14958,2,60246,0.08507999999999999,22382550,3513,0,1,0,1,0,1,0,1,1504
106,291498008.0,720.0,1280.0,23,1458.304347826087,800,0,32741,2,60248,0.07679,22383293,3601,0,1,0,1,0,1,0,1,1666
107,85165841.0,360.0,640.0,23,1458.8695652173913,815,0,32739,2,60276,0.19721,16795271,1984,0,1,0,1,0,1,0,1,486
108,81073096.0,360.0,640.0,23,1458.608695652174,837,0,32711,2,60265,0.20712,16792206,1960,0,1,0,1,0,1,0,1,463
109,205109689.0,720.0,1280.0,23,1458.0869565217392,581,15782,17173,2,60239,0.10706,21958276,2946,0,1,0,1,0,1,0,1,1173
